2019-Feb-26 19:58:12.826940 INFO    Generating new wallet
2019-Feb-26 19:58:12.886148 INFO    Container initialized with view secret key, public view key 90ca776df8e046d6a25031b371368bc84668d21c981134b7ba4ec9181b59d9b5
2019-Feb-26 19:58:12.887256 INFO    Consumer added, consumer 0x7fd420601110, count 1
2019-Feb-26 19:58:12.887747 INFO    New wallet added XSC1QAqkGwb4MrTyWFhZm9WyHtUTQbqrxj9YVXQ6X9vyXY3e41BmSy5eWmNdsJtnZNA8AZGyPZyxb3svJiToByHk4QVBNyEtDN
2019-Feb-26 19:58:12.887903 INFO    Starting...
2019-Feb-26 19:58:12.888059 INFO    New wallet is generated. Address: XSC1QAqkGwb4MrTyWFhZm9WyHtUTQbqrxj9YVXQ6X9vyXY3e41BmSy5eWmNdsJtnZNA8AZGyPZyxb3svJiToByHk4QVBNyEtDN
2019-Feb-26 19:58:12.888268 INFO    Saving container...
2019-Feb-26 19:58:12.888411 INFO    Removing outdated pool transactions...
2019-Feb-26 19:58:12.888874 INFO    Outdated pool transactions processed
2019-Feb-26 19:58:12.888513 INFO    Stopping...
2019-Feb-26 19:58:12.889433 INFO    Stopped
2019-Feb-26 19:58:12.891534 INFO    Starting...
2019-Feb-26 19:58:12.892169 INFO    Container saved
2019-Feb-26 19:58:12.892276 INFO    Wallet is saved
2019-Feb-26 19:58:12.892406 INFO    Stopping...
2019-Feb-26 19:58:12.892760 INFO    Stopped
2019-Feb-26 19:58:12.893464 INFO    Consumer removed, consumer 0x7fd420601110, count 0
2019-Feb-26 19:58:12.893639 INFO    Stopping...
2019-Feb-26 19:58:12.893873 INFO    Stopped
2019-Feb-26 19:58:12.893951 INFO    Stopping...
2019-Feb-26 19:58:12.894026 INFO    Stopped
